"SUPERPATHWAY"	"SUBPATHWAY"	"COMPID"	"PLATFORM"	"RI"	"MASS"	"CAS"	"PUBCHEM"	"KEGG"	"HMDBID"
"x-12845"	""	""	34528	"203"	4234	461.23954	""	""	""	""
"x-14629"	""	""	36556	"203"	4565	296.617	""	""	""	""
"x-11632"	""	""	32949	"203"	3410	229.10825	""	""	""	""
"x-18922"	""	""	42307	"203"	4907.9	299.18643	""	""	""	""
"1-myristoylglycerol (14:0)"	"Lipid"	"Monoacylglycerol"	35625	"203"	5965	227.20165	"75685-84-6"	"79050"	"C01885"	"HMDB11561"
"phenobarbital"	"Xenobiotics"	"Drug"	27733	"203"	3197	231.07751	"50-06-6"	"4763"	"C07434"	"HMDB15305"
"x-18945"	""	""	42332	"203"	2677.1	259.12997	""	""	""	""
"desmethylnaproxen sulfate"	"Xenobiotics"	"Drug"	34346	"203"	2324	295.02818	""	"184679"	""	""
"malate"	"Energy"	"TCA Cycle"	1303	"GC/MS"	1502	233	"6915-15-7"	"525"	"C00149"	"HMDB00156"
"x-14628"	""	""	36555	"203"	4037	296.61725	""	""	""	""
"x-15664"	""	""	37913	"203"	3695	469.17077	""	""	""	""
"hydroxybupropion"	"Xenobiotics"	"Drug"	32882	"202"	3285	256.10989	""	"446"	""	"HMDB12235"
"x-12681"	""	""	34290	"202"	931	176.10296	""	""	""	""
"x-17307"	""	""	40105	"202"	2258.5	162.11245	""	""	""	""
"tartarate"	"Xenobiotics"	"Food Component/Plant"	15336	"203"	604	149.00916	"87-69-4;6106-24-7"	"444305"	"C00898"	"HMDB00956"
"carbamazepine 10,11-epoxide"	"Xenobiotics"	"Drug"	37020	"202"	3969	253.09716	"36507-30-9"	"2555"	"C07496"	""
"x-19573"	""	""	43129	"203"	3906.5	403.10315	""	""	""	""
"stigmasterol"	"Lipid"	"Sterol"	21183	"GC/MS"	2359	255.3	"83-48-7"	"5280794"	"C05442"	"HMDB00937"
"1-linolenoylglycerophosphocholine (18:3n3)"	"Lipid"	"Lysolipid"	44562	"202"	5527.9	518.32412	""	""	""	""
"x-15523"	""	""	37771	"203"	4203	309.10056	""	""	""	""
"x-15564"	""	""	37813	"202"	1053	191.04804	""	""	""	""
"x-12689"	""	""	34298	"202"	1183	278.12339	""	""	""	""
"x-18485"	""	""	41712	"202"	997.5	132.10146	""	""	""	""
"serotonin (5ht)"	"Amino Acid"	"Tryptophan Metabolism"	2342	"202"	1660	177.10224	"153-98-0"	"5202"	"C00780"	"HMDB00259"
"x-19602"	""	""	43159	"203"	4375.2	410.13019	""	""	""	""
"x-12731"	""	""	34341	"203"	2073	238.96905	""	""	""	""
"x-17614"	""	""	40555	"203"	2188.8	525.03369	""	""	""	""
"x-17381"	""	""	40206	"203"	4159.8	293.01184	""	""	""	""
"x-18059"	""	""	41161	"203"	2863.9	175.09776	""	""	""	""
"x-15572"	""	""	37821	"202"	2475	296.21497	""	""	""	""
"x-18271"	""	""	41418	"203"	2466.7	529.25	""	""	""	""
"x-15808"	""	""	38063	"203"	3534	240.04284	""	""	""	""
"isoleucylglycine"	"Peptide"	"Dipeptide"	40008	"202"	1732	189.12337	"868-28-0"	"342532"	""	""
"x-11438"	""	""	32755	"203"	3092	241.14412	""	""	""	""
"3-hydroxybutyrate (bhba)"	"Lipid"	"Ketone Bodies"	542	"GC/MS"	1203.5	116.9	"625-72-9"	"441"	"C01089"	"HMDB00357"
"x-12435"	""	""	33877	"203"	3174	357.10175	""	""	""	""
"x-11585"	""	""	37663	"203"	3086	330.07523	""	""	""	""
"undecanedioate"	"Lipid"	"Fatty Acid, Dicarboxylate"	35671	"203"	2376	215.12888	"1852-04-6"	"15816"	""	"HMDB00888"
"threitol"	"Carbohydrate"	"Pentose Metabolism"	35854	"GC/MS"	1513	217.1	"2418-52-2"	"169019"	"C16884"	"HMDB04136"
"x-11832"	""	""	33177	"203"	1962	216.033	""	""	""	""
"x-15674"	""	""	37923	"203"	1325	187.02512	""	""	""	""
"eicosenoate (20:1n9 or 1n11)"	"Lipid"	"Long Chain Fatty Acid"	33587	"203"	5955	309.27982	""	"5282768"	""	""
"x-17327"	""	""	40188	"203"	3037.5	255.135	""	""	""	""
"x-16124"	""	""	38571	"203"	2575.1	203.00153	""	""	""	""
"oleate (18:1n9)"	"Lipid"	"Long Chain Fatty Acid"	1359	"GC/MS"	1984.4	339.2	"112-80-1"	"445639"	"C00712"	"HMDB00207"
"x-12740"	""	""	34350	"203"	2499	287.02246	""	""	""	""
"x-12748"	""	""	37939	"203"	558	320.06249	""	""	""	""
"acetoacetate"	"Lipid"	"Ketone Bodies"	33963	"GC/MS"	1285	231.1	"578486"	"96"	"C00164"	"HMDB00060"
"x-12739"	""	""	34349	"203"	2414	241.11879	""	""	""	""
"2-aminophenol sulfate"	"Xenobiotics"	"Chemical"	43266	"203"	1670.8	188.0023	""	"181670"	""	""
"valerylcarnitine (c5)"	"Lipid"	"Fatty Acid Metabolism(Acyl Carnitine)"	34406	"202"	2584	246.16999	""	"6426903"	""	"HMDB13128"
"x-17174"	""	""	39844	"203"	2488.6	464.17794	""	""	""	""
"hexaethylene glycol"	"Xenobiotics"	"Chemical"	38133	"202"	2651	283.17513	"2615-15-8"	"17472"	""	""
"x-18750"	""	""	42113	"203"	3222.7	335.02191	""	""	""	""
"homovanillate (hva)"	"Amino Acid"	"Phenylalanine and Tyrosine Metabolism"	1101	"203"	1669	181.05063	"306-08-1"	"1738"	"C05582"	"HMDB00118"
"x-18936"	""	""	42323	"203"	2034.2	239.04936	""	""	""	""
"2-myristoyl-gpc (14:0)"	"Lipid"	"Lysolipid"	35626	"202"	5450	468.30847	""	""	""	""
"1-oleoyl-gpi (18:1)"	"Lipid"	"Lysolipid"	36602	"203"	5577	597.30453	""	""	""	""
"ribitol"	"Carbohydrate"	"Pentose Metabolism"	15772	"GC/MS"	1692.4	217	"488-81-3"	"6912"	"C00474"	"HMDB00508"
"x-12609"	""	""	34203	"203"	2218	485.22431	""	""	""	""
"x-12812"	""	""	34495	"203"	2443	208.06155	""	""	""	""
"x-15245"	""	""	37387	"203"	581	233.03069	""	""	""	""
"xylonate"	"Carbohydrate"	"Pentose Metabolism"	35638	"GC/MS"	1722	292	"73686-31-7"	"6602431"	"C05411"	""
"x-13837"	""	""	35732	"203"	1002	299.12489	""	""	""	""
"x-12263"	""	""	33685	"203"	1369	275.02256	""	""	""	""
"x-12792"	""	""	34475	"202"	812	134.02669	""	""	""	""
"x-18524"	""	""	41753	"203"	2051.4	295.13902	""	""	""	""
"x-18891"	""	""	42276	"203"	2867.1	399.1491	""	""	""	""
"x-17624"	""	""	40565	"203"	2913.8	267.12375	""	""	""	""
"fructose"	"Carbohydrate"	"Fructose, Mannose and Galactose Metabolism"	577	"GC/MS"	1758	217	"57-48-7"	"5984"	"C00095"	"HMDB00660"
"n-octanoylglycine"	"Lipid"	"Fatty Acid Metabolism(Acyl Glycine)"	43502	"203"	4340	200.12921	"14246-53-8"	"84290"	""	"HMDB00832"
"x-12828"	""	""	34511	"203"	2995	237.12452	""	""	""	""
"stearamide"	"Lipid"	"Fatty Acid, Amide"	37487	"GC/MS"	2071	131	"124-26-5"	"31292"	"C13846"	"HMDB34146"
"carnosine"	"Peptide"	"Dipeptide Derivative"	1768	"203"	813	225.09931	"305-84-0"	"439224"	"C00386"	"HMDB00033"
"7-methylguanine"	"Nucleotide"	"Purine Metabolism, Guanine containing"	35114	"202"	1353	166.07234	"578-76-7"	"11361"	"C02242"	"HMDB00897"
"x-12714"	""	""	34324	"203"	1640	303.07245	""	""	""	""
"bradykinin"	"Peptide"	"Polypeptide"	22154	"202"	2990	530.78798	"58-82-2"	"439201"	"C00306"	"HMDB04246"
"x-11538"	""	""	32855	"203"	4920	311.22213	""	""	""	""
"valylalanine"	"Peptide"	"Dipeptide"	41518	"203"	1675.9	187.10881	"27493-61-4"	"334517"	""	""
"x-13689"	""	""	35498	"203"	3696	495.22383	""	""	""	""
"x-17677"	""	""	40774	"203"	1552.2	204.98109	""	""	""	""
"x-17704"	""	""	40801	"203"	4648.4	489.26993	""	""	""	""
"x-12705"	""	""	34315	"203"	1245	324.07291	""	""	""	""
"glycine"	"Amino Acid"	"Glycine, Serine and Threonine Metabolism"	32338	"GC/MS"	1486.9	218.1	"56-40-6"	"750"	"C00037"	"HMDB00123"
"x-16564"	""	""	39137	"203"	2858.5	184.098	""	""	""	""
"x-11323"	""	""	32640	"202"	3408	172.13309	""	""	""	""
"x-20006"	""	""	43782	"203"	4953.6	329.23303	""	""	""	""
"1-oleoylglycerol (18:1)"	"Lipid"	"Monoacylglycerol"	21184	"GC/MS"	2181.2	397.4	"111-03-5"	"5283468"	""	"HMDB11567"
"x-18943"	""	""	42330	"203"	2624.9	279.09836	""	""	""	""
"x-11437"	""	""	32754	"203"	2888	230.99644	""	""	""	""
"phenylacetylglycine"	"Amino Acid"	"Phenylalanine and Tyrosine Metabolism"	33945	"203"	2377	192.06661	"500-98-1"	"68144"	"C05598"	"HMDB00821"
"n-(2-furoyl)glycine"	"Xenobiotics"	"Food Component/Plant"	31536	"202"	2076	170.04479	"5657-19-2;5657-19-2"	"21863"	""	"HMDB00439"
"x-18918"	""	""	42303	"203"	4646.8	427.18	""	""	""	""
"hexanoylglycine (c6)"	"Lipid"	"Fatty Acid Metabolism(Acyl Glycine)"	35436	"203"	2918	172.09791	"24003-67-6"	"99463"	""	"HMDB00701"
"x-16574"	""	""	39147	"203"	4357.6	263.00147	""	""	""	""
"x-17137"	""	""	39800	"203"	3465.5	449.20383	""	""	""	""
"x-12048"	""	""	33399	"202"	2485	171.11276	""	""	""	""
"x-13581"	""	""	35359	"203"	5150	257.176	""	""	""	""
"glycylproline"	"Peptide"	"Dipeptide"	22171	"202"	1115	173.09207	"704-15-4"	"3013625"	""	"HMDB00721"
"isovalerylcarnitine (c5)"	"Amino Acid"	"Leucine, Isoleucine and Valine Metabolism"	34407	"202"	2533	246.16999	"31023-24-2"	"6426851"	""	"HMDB00688"
"x-12262"	""	""	33684	"203"	2318	258.008	""	""	""	""
"lidocaine"	"Xenobiotics"	"Drug"	35661	"202"	2900	235.18049	"137-58-6"	"3676"	"D00358"	"HMDB14426"
"x-12819"	""	""	34502	"203"	2702	170.08223	""	""	""	""
"1-heptadecanoyl-gpc (17:0)"	"Lipid"	"Lysolipid"	33957	"202"	5750	510.35542	"50930-23-9"	"24779463"	"C04230"	"HMDB12108"
"x-14318"	""	""	36244	"202"	2509	247.12922	""	""	""	""
"x-18897"	""	""	42282	"203"	3499.7	221.0842	""	""	""	""
"s-methylcysteine"	"Amino Acid"	"Methionine, Cysteine, SAM and Taurine Metabolism"	39592	"203"	862.8	134.02812	"1187-84-4"	"24417"	""	"HMDB02108"
"x-13772"	""	""	35582	"203"	1799	243.12344	""	""	""	""
"heptanoate (7:0)"	"Lipid"	"Medium Chain Fatty Acid"	1644	"203"	3695	129.0921	"111-14-8"	"8094"	"C17714"	"HMDB00666"
"x-16649"	""	""	39225	"203"	3008.8	353.03379	""	""	""	""
"2-stearoyl-gpc (18:0)"	"Lipid"	"Lysolipid"	35255	"202"	5780	524.37107	""	"10208382"	""	""
"x-12831"	""	""	34514	"203"	3214	433.20794	""	""	""	""
"azelate (nonanedioate; c9)"	"Lipid"	"Fatty Acid, Dicarboxylate"	18362	"203"	1322	187.09758	"123-99-9"	"2266"	"C08261"	"HMDB00784"
"traumatic acid"	"Xenobiotics"	"Food Component/Plant"	42964	"203"	2877	227.12888	"6402-36-4"	"5283028"	"C16308"	"HMDB00933"
"x-12676"	""	""	34282	"202"	4605	325.24802	""	""	""	""
"x-13928"	""	""	35823	"202"	1947	190.10728	""	""	""	""
"x-12851"	""	""	34535	"203"	4886	624.33755	""	""	""	""
"x-11793"	""	""	33138	"202"	3634	601.26665	""	""	""	""
"x-19380"	""	""	42856	"203"	2287	412.2044	""	""	""	""
"x-15649"	""	""	37898	"203"	4039	277.14368	""	""	""	""
"x-18905"	""	""	42290	"203"	3938	427.18021	""	""	""	""
"alpha-cehc glucuronide"	"Cofactors and Vitamins"	"Tocopherol Metabolism"	39346	"203"	2623.1	453.17662	""	""	""	""
"x-11407"	""	""	32724	"202"	3385	188.12798	""	""	""	""
"x-18911"	""	""	42296	"203"	4224.9	530.28	""	""	""	""
"x-13695"	""	""	35504	"203"	2511	245.01261	""	""	""	""
"x-14697"	""	""	36624	"203"	1310	259.1302	""	""	""	""
"p-acetamidophenylglucuronide"	"Xenobiotics"	"Drug"	33423	"203"	1377	326.08814	"120595-80-4"	"83944"	""	"HMDB10316"
"x-18946"	""	""	42333	"203"	2740.4	269.13965	""	""	""	""
"laurate (12:0)"	"Lipid"	"Medium Chain Fatty Acid"	1645	"203"	5288	199.17035	"143-07-7"	"3893"	"C02679"	"HMDB00638"
"caprate (10:0)"	"Lipid"	"Medium Chain Fatty Acid"	1642	"203"	5092	171.13905	"112-37-8"	"2969"	"C01571"	"HMDB00511"
"sphingomyelin"	"Lipid"	"Sphingolipid Metabolism"	19503	"GC/MS"	2645	311.3	"85187-10-6;85187-10-6"	"6453725"	"C00550"	"HMDB01348"
"x-17343"	""	""	40142	"203"	1312.5	190.96584	""	""	""	""
"x-15439"	""	""	37687	"203"	3616	349.0014	""	""	""	""
"x-12637"	""	""	34236	"203"	3430	257.15072	""	""	""	""
"x-18907"	""	""	42292	"203"	4066.7	222.092	""	""	""	""
"sucralose"	"Xenobiotics"	"Food Component/Plant"	36649	"203"	3116	395.00727	"56038-13-2"	"71485"	"C12285"	"HMDB31554"
"5-hydroxyhexanoate"	"Lipid"	"Fatty Acid, Monohydroxy"	31938	"203"	1283	131.07136	"44843-89-2"	"170748"	""	"HMDB00525"
"isoleucylaspartate"	"Peptide"	"Dipeptide"	42982	"202"	1552	247.12885	"510-791-9560"	""	""	""
"x-16083"	""	""	38526	"203"	1503.6	309.11863	""	""	""	""
"x-12261"	""	""	33683	"203"	1850	258.00721	""	""	""	""
"3-(n-acetyl-l-cystein-s-yl) acetaminophen"	"Xenobiotics"	"Drug"	18299	"202"	2622	313.08528	"52372-86-8"	"83967"	""	""
"ibuprofen"	"Xenobiotics"	"Drug"	17799	"203"	4951	205.1234	"15687-27-1"	"3672"	"D00126"	"HMDB01925"
"cystine"	"Amino Acid"	"Methionine, Cysteine, SAM and Taurine Metabolism"	39512	"GC/MS"	2015.3	145.9	"56-89-3"	"67678"	"C00491"	"HMDB00192"
"x-12058"	""	""	33410	"202"	4350	200.16435	""	""	""	""
"1-methylimidazoleacetate"	"Amino Acid"	"Histidine Metabolism"	32350	"202"	845	141.06586	"2625-49-2"	"75810"	"C05828"	"HMDB02820"
"x-16938"	""	""	39521	"203"	2008.8	233.1031	""	""	""	""
"x-12195"	""	""	33616	"203"	3369	333.0068	""	""	""	""
"x-12849"	""	""	34532	"203"	4726	331.17622	""	""	""	""
"orotate"	"Nucleotide"	"Pyrimidine Metabolism, Orotate containing"	1505	"203"	768	155.00983	"50887-69-9"	"967"	"C00295"	"HMDB00226"
"1,6-anhydroglucose"	"Xenobiotics"	"Food Component/Plant"	21049	"GC/MS"	1679.5	204.1	"498-07-7"	"2724705"	""	"HMDB00640"
"2-eicosatrienoyl-gpc (20:3)"	"Lipid"	"Lysolipid"	35884	"202"	5565	546.35542	""	""	""	""
"x-12565"	""	""	34132	"202"	1724	254.16145	""	""	""	""
"cholesterol"	"Lipid"	"Sterol"	63	"GC/MS"	2316.9	329.3	"57-88-5"	"11025495"	"C00187"	"HMDB00067"
"x-18898"	""	""	42283	"203"	3603.6	583.25653	""	""	""	""
"x-18920"	""	""	42305	"203"	4841.8	429.196	""	""	""	""
"2-palmitoyl-gpc (16:0)"	"Lipid"	"Lysolipid"	35253	"202"	5604	496.33977	""	"15061532"	""	""
"i-urobilinogen"	"Cofactors and Vitamins"	"Hemoglobin and Porphyrin Metabolism"	32426	"203"	4181	591.31881	"14684-37-8"	"26818"	"C05790"	"HMDB04157"
"3-hydroxyoctanoate"	"Lipid"	"Fatty Acid, Monohydroxy"	22001	"203"	3463	159.10266	"88930-08-9"	"26613"	""	"HMDB01954"
"x-17444"	""	""	40273	"203"	4149.5	415.24912	""	""	""	""
"ranitidine"	"Xenobiotics"	"Drug"	38595	"202"	1967	315.14854	"66357-59-3"	"3001055"	"D00422"	"HMDB01930"
"x-12306"	""	""	33728	"203"	2364	247.02829	""	""	""	""
"hydroquinone sulfate"	"Xenobiotics"	"Drug"	35322	"203"	1383	188.98631	"123-31-9"	"161220"	"C00530"	"HMDB02434"
"x-17692"	""	""	40789	"203"	3071.9	370.096	""	""	""	""
"dimethylarginine (adma + sdma)"	"Amino Acid"	"Urea cycle; Arginine and Proline Metabolism"	36808	"202"	812	203.15026	"102783-24-4"	"123831"	"C03626"	"HMDB01539"
"x-12293"	""	""	33715	"203"	1626	258.04381	""	""	""	""
"x-17323"	""	""	40121	"202"	3126.7	272.18521	""	""	""	""
"x-13709"	""	""	35518	"202"	1938	302.15975	""	""	""	""
"x-11485"	""	""	32802	"203"	4478	378.10095	""	""	""	""
"x-11400"	""	""	32717	"202"	2855	828.09043	""	""	""	""
"x-19448"	""	""	42924	"203"	3347.9	207.0659	""	""	""	""
"4-acetamidophenol"	"Xenobiotics"	"Drug"	12032	"202"	2238	152.07061	"103-90-2"	"1983"	"C06804"	"HMDB01859"
"x-11522"	""	""	32839	"203"	4754	313.12	""	""	""	""
"x-17447"	""	""	40276	"203"	4618.8	303.14505	""	""	""	""
"x-15220"	""	""	37362	"203"	2632	274.11169	""	""	""	""
"serine"	"Amino Acid"	"Glycine, Serine and Threonine Metabolism"	1648	"203"	680	104.03531	"56-45-1"	"5951"	"C00065"	"HMDB00187"
"5-hydroxymethyl-2-furoic acid"	"Amino Acid"	"Phenylalanine and Tyrosine Metabolism"	42040	"GC/MS"	1559.1	271.1	"6338-41-6"	"80642"	"C20448"	"HMDB02432"
"docosatrienoate (22:3n3)"	"Lipid"	"Polyunsaturated Fatty Acid (n3 and n6)"	32417	"203"	5825	333.2799	"59708-86-0"	"5312556"	"C16534"	"HMDB02823"
"5-dodecenoate (12:1n7)"	"Lipid"	"Medium Chain Fatty Acid"	33968	"203"	5206	197.1547	"2430-94-6"	"5312378"	""	"HMDB00529"
"x-15672"	""	""	37921	"202"	1911	340.10233	""	""	""	""
"x-18770"	""	""	42135	"203"	3637.7	307.02756	""	""	""	""
"x-17765"	""	""	40867	"203"	4596.2	489.27084	""	""	""	""
"x-11478"	""	""	32795	"203"	4286	165.0917	""	""	""	""
"x-18619"	""	""	41853	"202"	3624.3	397.15991	""	""	""	""
"x-17676"	""	""	40773	"203"	1509.5	167.04633	""	""	""	""
"x-12730"	""	""	34340	"203"	2095	203.99682	""	""	""	""
"x-17351"	""	""	40159	"203"	3391.8	243.07764	""	""	""	""
"x-16087"	""	""	38530	"203"	4164	443.15527	""	""	""	""
"2-methoxyacetaminophen sulfate"	"Xenobiotics"	"Drug"	33178	"203"	1977	260.02343	""	""	""	""
"x-18908"	""	""	42293	"203"	4044.1	295.116	""	""	""	""
"x-12015"	""	""	33361	"203"	1318	216.0875	""	""	""	""
"sphinganine"	"Lipid"	"Sphingolipid Metabolism"	17769	"202"	5175	302.30536	"3102-56-5"	"3126"	"C00836"	"HMDB00269"
"x-12704"	""	""	34314	"203"	1252	274.00259	""	""	""	""
"x-11805"	""	""	33150	"202"	1845	418.19363	""	""	""	""
"x-12027"	""	""	33378	"203"	2730	242.01242	""	""	""	""
"x-14568"	""	""	36495	"203"	628	132.92075	""	""	""	""
"x-18888"	""	""	42273	"203"	2539.8	267.12421	""	""	""	""
"x-13846"	""	""	40102	"202"	2012.3	303.07092	""	""	""	""
"x-20354"	""	""	44949	"202"	1548.4	439.17856	""	""	""	""
"x-18935"	""	""	42322	"203"	1932.1	227.99741	""	""	""	""
"2-linoleoylglycerol (2-monolinolein)"	"Lipid"	"Monoacylglycerol"	32506	"203"	5988	279.23295	"3443-82-1"	"5365676"	""	"HMDB11538"
"x-18241"	""	""	41345	"203"	2459.2	240.98076	""	""	""	""
"x-12092"	""	""	33507	"202"	1142	144.10209	""	""	""	""
"x-12847"	""	""	34530	"203"	4240	227.03789	""	""	""	""
"x-12039"	""	""	33390	"203"	1617	173.98627	""	""	""	""
"choline"	"Lipid"	"Phospholipid Metabolism"	15506	"202"	674	104.10699	"67-48-1"	"305"	"C00114"	"HMDB00097"
"x-18909"	""	""	42294	"203"	4210.2	221.084	""	""	""	""
"2-hydroxyacetaminophen sulfate"	"Xenobiotics"	"Drug"	33173	"203"	1703	246.00778	""	""	""	""
"x-15646"	""	""	37895	"203"	2888	343.08602	""	""	""	""
"1-linolenoylglycerophosphoethanolamine (18:3n3)"	"Lipid"	"Lysolipid"	45976	"202"	5536.5	476.2772	""	""	""	""
"cys-gly, oxidized"	"Amino Acid"	"Glutathione Metabolism"	18368	"203"	955	353.0595	"7729-20-6"	"333293"	""	""
"5alpha-androstan-3beta,17beta-diol monosulfate 2"	"Lipid"	"Steroid"	37192	"203"	4672	371.18976	""	""	""	""
"x-11530"	""	""	32847	"203"	4866	313.11868	""	""	""	""
"x-13848"	""	""	35743	"203"	1600	161.98628	""	""	""	""
"x-12329"	""	""	33751	"203"	1867	188.00189	""	""	""	""
"arginylleucine"	"Peptide"	"Dipeptide"	39995	"202"	1620	288.20302	"1188-24-5"	"333445"	""	""
"isovalerylglycine"	"Amino Acid"	"Leucine, Isoleucine and Valine Metabolism"	35107	"203"	1961	158.08226	"16284-60-9"	"546304"	""	"HMDB00678"
"x-12848"	""	""	34531	"203"	4288	350.06974	""	""	""	""
"myristoleate (14:1n5)"	"Lipid"	"Long Chain Fatty Acid"	32418	"203"	5338	225.186	"544-64-9"	"5281119"	"C08322"	"HMDB02000"
"x-17735"	""	""	40835	"202"	4860	274.18301	""	""	""	""
"x-13729"	""	""	35539	"203"	1754	241.97601	""	""	""	""
"x-20598"	""	""	45199	"202"	3208.6	266.10214	""	""	""	""
"x-15474"	""	""	37722	"202"	3872	202.1437	""	""	""	""
"3-(cystein-s-yl)acetaminophen"	"Xenobiotics"	"Drug"	34365	"202"	1960	271.07471	""	"5233914"	""	""
"caprylate (8:0)"	"Lipid"	"Medium Chain Fatty Acid"	32492	"203"	4367	143.10775	"124-07-2"	"379"	"C06423"	"HMDB00482"
"x-20619"	""	""	45220	"203"	1581.4	218.99748	""	""	""	""
"x-12060"	""	""	33412	"203"	3497	170.11896	""	""	""	""
"x-12830"	""	""	34513	"203"	3182	372.11147	""	""	""	""
"x-12818"	""	""	34501	"203"	2702	263.02311	""	""	""	""
"x-13431"	""	""	35189	"202"	4230	302.23236	""	""	""	""
"x-11998"	""	""	33344	"203"	855	155.00237	""	""	""	""
"x-12680"	""	""	34289	"202"	819	229.1295	""	""	""	""
"x-19574"	""	""	43130	"203"	4045.7	307.0285	""	""	""	""
"x-12846"	""	""	34529	"203"	4218	481.24353	""	""	""	""
"x-16480"	""	""	39053	"203"	4685.5	309.20652	""	""	""	""
"x-19684"	""	""	43269	"202"	1227.3	177.08676	""	""	""	""
"x-12093"	""	""	33508	"202"	1063	203.13925	""	""	""	""
"glutamine"	"Amino Acid"	"Glutamate Metabolism"	53	"202"	684	147.07642	"56-85-9"	"5961"	"C00064"	"HMDB00641"
"x-11529"	""	""	32846	"203"	4845	624.33753	""	""	""	""
"x-12339"	""	""	33764	"202"	1055	174.08732	""	""	""	""
"deoxycholate"	"Lipid"	"Secondary Bile Acid Metabolism"	1114	"GC/MS"	2356	255.2	"83-44-3"	"222528"	"C04483"	"HMDB00626"
"diisopropanolamine"	"Xenobiotics"	"Chemical"	21023	"202"	938	134.11756	"110-97-4"	"8086"	""	""
"1-palmitoleoyl-gpi (16:1)"	"Lipid"	"Lysolipid"	36618	"203"	5442	569.27323	""	""	""	""
"x-18964"	""	""	42351	"203"	4494.7	287.612	""	""	""	""
"x-15458"	""	""	37706	"202"	1820	302.19608	""	""	""	""
"butyrylcarnitine (c4)"	"Lipid"	"Fatty Acid Metabolism (also BCAA Metabolism)"	32412	"202"	2007	232.15434	"25576-40-3"	"439829"	"C02862"	"HDMB02013"
"x-11552"	""	""	32869	"202"	5408	200.20107	""	""	""	""
"bradykinin, des-arg(9)"	"Peptide"	"Polypeptide"	34420	"202"	3516	452.73742	"15958-92-6"	"105044"	"C00306"	"HMDB04246"
"x-12839"	""	""	34522	"203"	3878	269.15069	""	""	""	""
"5-pregnen-3b, 17-diol-20-one 3-sulfate"	"Lipid"	"Steroid"	37482	"203"	4834	411.18468	"28901-70-4"	"152971"	""	"HMDB00416"
"x-12283"	""	""	33829	"203"	2980	243.07765	""	""	""	""
"x-18774"	""	""	42139	"203"	3551.7	345.228	""	""	""	""
"x-12024"	""	""	33370	"203"	1900	206.99652	""	""	""	""
"x-12230"	""	""	33652	"203"	3360	217.01719	""	""	""	""
"phenylacetate"	"Amino Acid"	"Phenylalanine and Tyrosine Metabolism"	15958	"203"	2127	135.04515	"103-82-2"	"999"	"C07086"	"HMDB00209"
"x-16654"	""	""	39230	"203"	4619.6	235.1176	""	""	""	""
"x-12814"	""	""	34497	"203"	2597	405.17576	""	""	""	""
"prolylglycine"	"Peptide"	"Dipeptide"	40703	"202"	875	173.09207	"2578-57-6"	"7408076;6426709"	""	""
"myristate (14:0)"	"Lipid"	"Long Chain Fatty Acid"	1365	"203"	5439	227.20165	"544-63-8"	"11005"	"C06424"	"HMDB00806"
"x-18965"	""	""	42352	"203"	4727	442.1905	""	""	""	""
"gluconate"	"Xenobiotics"	"Food Component/Plant"	587	"GC/MS"	1879.4	333	"527-07-1"	"10690"	"C00257"	"HMDB00625"
"dimethylglycine"	"Amino Acid"	"Glycine, Serine and Threonine Metabolism"	5086	"GC/MS"	1030	57.9	"1118-68-9"	"673"	"C01026"	"HMDB00092"
"x-13005"	""	""	34690	"203"	3519	197.00133	""	""	""	""
"x-12254"	""	""	33676	"203"	2604	239.99728	""	""	""	""
"x-13007"	""	""	34692	"203"	4584	329.23288	""	""	""	""
"x-12110"	""	""	33525	"202"	1147	286.13965	""	""	""	""
"n-acetylmethionine"	"Amino Acid"	"Methionine, Cysteine, SAM and Taurine Metabolism"	1589	"203"	1805	190.05434	"65-82-7"	"448580"	"C02712"	"HMDB11745"
"n4-acetylcytidine"	"Nucleotide"	"Pyrimidine Metabolism, Cytidine containing"	35130	"202"	2030	286.10337	"3768-18-1"	"107461"	""	"HMDB05923"
"stearidonate (18:4n3)"	"Lipid"	"Polyunsaturated Fatty Acid (n3 and n6)"	33969	"203"	5381	275.20165	"111174-40-4"	"5312508"	"C16300"	"HMDB06547"
"x-19520"	""	""	43073	"202"	3640.7	186.14883	""	""	""	""
"3-(3-hydroxyphenyl)propionate"	"Amino Acid"	"Phenylalanine and Tyrosine Metabolism"	35635	"203"	2000	165.05571	"621-54-5"	"91"	"C11457"	"HMDB00375"
"x-13727"	""	""	35537	"203"	1551	232.02806	""	""	""	""
"x-17422"	""	""	40247	"202"	3684.5	471.19641	""	""	""	""
"stearate (18:0)"	"Lipid"	"Long Chain Fatty Acid"	1358	"203"	5886	283.26425	"57-11-4"	"5281"	"C01530"	"HMDB00827"
"x-12258"	""	""	33680	"203"	2270	230.0129	""	""	""	""
"adrenate (22:4n6)"	"Lipid"	"Polyunsaturated Fatty Acid (n3 and n6)"	32980	"203"	5684	331.26425	"2091-25-0"	"5497181"	"C16527"	"HMDB02226"
"dihydroorotate"	"Nucleotide"	"Pyrimidine Metabolism, Orotate containing"	601	"GC/MS"	1730.4	257	"155-54-4"	"648"	"C00337"	"HMDB03349"
"x-17150"	""	""	39814	"203"	3166.4	315.12665	""	""	""	""
